"Hand #","Date","Stake","My C Won","Final Hand","Hole Cards","Flop","Winner","Position","PF Act","F Act","T Act","R Act","Showdown","Bet PF","Bet F","Bet T","Bet R","Flop Donk","Flop Float","Turn Donk","Turn Float","Turn Probe","River Donk","River Float","River Probe","Flop Call","Turn Call","River Call","Hole Cards Text","Flop Text","Turn Text","River Text"
"19335521089","2019/12/15  6:09 pm","€0.04 NL (6 max)","€0.16","(did not show hand)","6060000","90313","Radames06","EP","R","B","","","false","€0.12","€0.12","€0.00","€0.00","","","","","","","","","","","","6s 6d  ","9h 3h Kc","",""
"19335055893","2019/12/15  4:29 pm","€0.04 NL (6 max)","-€0.10","(folded turn)","11070000","60612","guillaume627","BTN","R","X","F","","false","€0.10","€0.00","€0.00","€0.00","","","","","","","","","","false","","Jc 7c  ","6s 6h Qs","4c",""
"19335051287","2019/12/15  4:28 pm","€0.04 NL (6 max)","-€6.54","Two Pair, Eights and Sevens","14130000","70808","SoOpa LovA","SB","RRR","","","","true","€7.11","€0.00","€0.00","€0.00","","","","","","","","","","","","Ah Kh  ","7h 8d 8s","5h","7c"
"19335049234","2019/12/15  4:27 pm","€0.04 NL (6 max)","-€0.04","(folded turn)","7020000","130511","guillaume627","BB","X","X","F","","false","€0.04","€0.00","€0.00","€0.00","","","","","","","","","","false","","7s 2s  ","Kc 5d Jh","4h",""
"19335049169","2019/12/15  4:27 pm","€0.04 NL (6 max)","-€0.12","(folded flop)","4040000","140713","Nothing88.","SB","C","XF","","","false","€0.12","€0.00","€0.00","€0.00","false","","","","","","","","false","","","4c 4h  ","Ah 7h Ks","",""
"19335037406","2019/12/15  4:24 pm","€0.04 NL (6 max)","€0.07","(did not show hand)","8070000","101006","Radames06","BB","C","B","","","false","€0.08","€0.07","€0.00","€0.00","","true","","","","","","","","","","8s 7d  ","10c 10d 6s","",""
"19335014309","2019/12/15  4:18 pm","€0.04 NL (6 max)","-€0.16","(folded flop)","11060000","50312","SoOpa LovA","BTN","R","F","","","false","€0.16","€0.00","€0.00","€0.00","","","","","","","","","false","","","Jd 6d  ","5d 3c Qs","9h","4h"
"19335006892","2019/12/15  4:16 pm","€0.04 NL (6 max)","-€0.04","(folded flop)","11070000","80705","fanou13010","BB","X","F","","","false","€0.04","€0.00","€0.00","€0.00","","","","","","","","","false","","","Jh 7c  ","8s 7s 5h","8c",""
"19335002438","2019/12/15  4:15 pm","€0.04 NL (6 max)","€0.54","(did not show hand)","14130000","100407","Radames06","MP","R","B","X","B","false","€0.16","€0.24","€0.00","€0.31","","","","","","","","","","","","Ad Kc  ","10d 4d 7h","Jh","Kh"
"19334992738","2019/12/15  4:13 pm","€0.04 NL (6 max)","€1.19","Three of a Kind, Nines","9090000","90411","Radames06","SB","C","XC","XR","","true","€0.16","€0.17","€1.14","€0.00","false","","false","","","","","","true","false","","9s 9h  ","9c 4s Jc","Ah","3h"
"19334966844","2019/12/15  4:06 pm","€0.04 NL (6 max)","-€0.36","(folded turn)","14090000","130608","Thomasgbt","BB","R","B","XF","","false","€0.16","€0.20","€0.00","€0.00","","","","","","","","","","false","","Ah 9d  ","Kd 6d 8c","Kc",""
"19334962950","2019/12/15  4:05 pm","€0.04 NL (6 max)","€0.22","(did not show hand)","13060000","140207","Radames06","BB","C","C","B","","false","€0.12","€0.13","€0.31","€0.00","","","","true","","","","","true","","","Kc 6d  ","Ac 2h 7h","10s",""
"19334956936","2019/12/15  4:04 pm","€0.04 NL (6 max)","€0.06","(did not show hand)","11060000","30613","Radames06","BB","X","X","X","B","false","€0.04","€0.00","€0.00","€0.10","","","","","","","","","","","","Jh 6h  ","3c 6c Ks","Qc","6d"
"19334942464","2019/12/15  4:00 pm","€0.04 NL (6 max)","-€0.16","(folded flop)","12060000","20711","Al3x4ndru1","SB","R","XF","","","false","€0.16","€0.00","€0.00","€0.00","","","","","","","","","false","","","Qc 6c  ","2h 7d Jh","",""
"19334940023","2019/12/15  3:59 pm","€0.04 NL (6 max)","€0.25","(did not show hand)","14070000","60714","Radames06","BB","R","XR","","","false","€0.16","€0.44","€0.00","€0.00","","","","","","","","","false","","","As 7s  ","6s 7d Ah","",""
"19334939142","2019/12/15  3:58 pm","€0.04 NL (6 max)","-€0.21","One Pair, Fives","12100000","70503","jardinier1","BTN","R","X","C","X","true","€0.10","€0.00","€0.11","€0.00","","","","","","","","","","true","","Qc 10s  ","7h 5d 3c","5h","6s"
"19334926539","2019/12/15  3:54 pm","€0.04 NL (6 max)","€0.26","(did not show hand)","14050000","100908","Radames06","CO","R","B","B","","false","€0.12","€0.13","€0.14","€0.00","","","","","","","","","","","","As 5s  ","10s 9s 8h","8s",""
"19334923738","2019/12/15  3:53 pm","€0.04 NL (6 max)","-€0.20","One Pair, Tens","9080000","100710","jardinier1","BTN","R","B","X","X","true","€0.10","€0.10","€0.00","€0.00","","","","","","","","","","","","9d 8d  ","10h 7s 10d","3s","4s"
"19334916286","2019/12/15  3:51 pm","€0.04 NL (6 max)","-€0.20","(folded turn)","8080000","130406","Enfollonao","MP","R","XC","XF","","false","€0.12","€0.08","€0.00","€0.00","","","false","","","","","","true","false","","8s 8d  ","Kc 4s 6s","Kh",""
"19334915013","2019/12/15  3:50 pm","€0.04 NL (6 max)","€0.40","(did not show hand)","13110000","70705","Radames06","MP","R","XC","X","B","false","€0.12","€0.18","€0.00","€0.35","","","false","","","","","","true","","","Ks Jh  ","7h 7c 5d","Js","4c"
"19334911073","2019/12/15  3:49 pm","€0.04 NL (6 max)","-€0.12","(folded flop)","10070000","140403","Al3x4ndru1","CO","R","F","","","false","€0.12","€0.00","€0.00","€0.00","","","","","","","","","false","","","10c 7c  ","Ac 4d 3d","6d","7h"
"19334899877","2019/12/15  3:46 pm","€0.04 NL (6 max)","-€0.20","One Pair, Fives","5050000","20612","jardinier1","BTN","R","B","X","X","true","€0.10","€0.10","€0.00","€0.00","","","","","","","","","","","","5d 5c  ","2d 6d Qs","10d","Kc"
"19334891989","2019/12/15  3:44 pm","€0.04 NL (6 max)","€0.06","Two Pair, Kings and Eights","11050000","130308","Radames06","BB","X","X","X","X","true","€0.04","€0.00","€0.00","€0.00","","","","","","","","","","","","Jh 5d  ","Ks 3h 8c","Kh","8s"
"19334891129","2019/12/15  3:43 pm","€0.04 NL (6 max)","-€0.12","(folded turn)","13110000","20408","jardinier1","SB","R","X","XF","","false","€0.12","€0.00","€0.00","€0.00","","","","","","","","","","false","","Kd Jh  ","2c 4h 8s","6d",""
"19334883893","2019/12/15  3:41 pm","€0.04 NL (6 max)","€0.06","(did not show hand)","14060000","121113","Radames06","BB","X","X","B","","false","€0.04","€0.00","€0.08","€0.00","","","","","","","","","","","","Ad 6s  ","Qh Jh Kd","Qc",""
"19334870971","2019/12/15  3:37 pm","€0.04 NL (6 max)","-€0.12","(folded flop)","14090000","110310","ElonMuskK","BB","C","F","","","false","€0.12","€0.00","€0.00","€0.00","","","","","","","","","false","","","As 9c  ","Jd 3h 10h","10d","3c"
"19334868574","2019/12/15  3:36 pm","€0.04 NL (6 max)","€3.53","Straight, King High","13110000","120306","Radames06","MP","R","X","X","BRR","true","€0.12","€0.00","€0.00","€3.88","","","","","","","","","","","false","Ks Js  ","Qd 3s 6c","9d","10c"
"19334865179","2019/12/15  3:35 pm","€0.04 NL (6 max)","-€0.12","(folded flop)","9070000","30212","Inconnu35","BTN","R","F","","","false","€0.12","€0.00","€0.00","€0.00","","","","","","","","","false","","","9s 7s  ","3s 2d Qd","",""
"19334863025","2019/12/15  3:35 pm","€0.04 NL (6 max)","€0.11","(did not show hand)","13100000","31312","Radames06","SB","R","X","B","","false","€0.12","€0.00","€0.15","€0.00","","","","","","","","","","","","Ks 10h  ","3h Kc Qc","Kh",""
"19334860026","2019/12/15  3:34 pm","€0.04 NL (6 max)","-€0.04","(folded turn)","14030000","50509","Al3x4ndru1","BB","X","X","XF","","false","€0.04","€0.00","€0.00","€0.00","","","","","","","","","","false","","As 3h  ","5c 5h 9c","Kh",""
"19334855251","2019/12/15  3:32 pm","€0.04 NL (6 max)","€1.34","Two Pair, Aces and Nines","9090000","100511","Radames06","MP","R","XRC","X","X","true","€0.12","€1.36","€0.00","€0.00","","","false","","","","","","true","","","9s 9c  ","10d 5h Js","Ad","Ah"
"19334843795","2019/12/15  3:29 pm","€0.04 NL (6 max)","€0.06","(did not show hand)","9080000","71111","Radames06","BB","X","X","X","B","false","€0.04","€0.00","€0.00","€0.10","","","","","","","","","","","","9s 8c  ","7h Jd Jh","6h","10d"
"19334838943","2019/12/15  3:27 pm","€0.04 NL (6 max)","-€0.12","(folded flop)","13120000","111104","jardinier1","BB","C","XF","","","false","€0.12","€0.00","€0.00","€0.00","false","","","","","","","","false","","","Kc Qh  ","Js Jd 4s","5s",""
"19334665525","2019/12/15  2:30 pm","€0.04 NL (6 max)","-€0.12","(folded flop)","4040000","141002","M3phist0","CO","C","F","","","false","€0.12","€0.00","€0.00","€0.00","","","","","","","","","false","","","4d 4h  ","Ad 10d 2h","",""
"19334660935","2019/12/15  2:28 pm","€0.04 NL (6 max)","€0.11","(did not show hand)","10060000","111311","Radames06","BB","C","X","B","","false","€0.10","€0.00","€0.14","€0.00","false","","","","true","","","","","","","10s 6s  ","Jh Kd Js","8s",""
